date,country_code,subdivision_code,holiday_name
2020-01-01,AD,,New Year's Day
2020-01-01,AE,,New Year's Day
2020-01-01,AG,,New Year's Day
2020-01-01,AI,,New Year's Day
2020-01-01,AL,,New Year's Day
2020-01-01,AM,,New Year's Day
2020-01-01,AO,,New Year's Day
2020-01-01,AQ,,New Year's Day
2020-01-01,AR,,New Year's Day
2020-01-01,AS,,New Year's Day
2020-01-01,AT,,New Year's Day
2020-01-01,AU,,New Year's Day
2020-01-01,AW,,New Year's Day
2020-01-01,AX,,New Year's Day
2020-01-01,AZ,,New Year's Day
2020-01-01,B3,,Universal Fraternization Day
2020-01-01,BA,,New Year's Day
2020-01-01,BB,,New Year's Day
2020-01-01,BE,,New Year's Day
2020-01-01,BF,,New Year's Day
2020-01-01,BG,,New Year's Day
2020-01-01,BH,,New Year's Day
2020-01-01,BI,,New Year's Day
2020-01-01,BJ,,New Year's Day
2020-01-01,BL,,New Year's Day
2020-01-01,BM,,New Year's Day
2020-01-01,BN,,New Year's Day
2020-01-01,BO,,New Year's Day
2020-01-01,BQ,,New Year's Day
2020-01-01,BR,,Universal Fraternization Day
2020-01-01,BS,,New Year's Day
2020-01-01,BW,,New Year's Day
2020-01-01,BY,,New Year's Day
2020-01-01,BZ,,New Year's Day
2020-01-01,CA,,New Year's Day
2020-01-01,CC,,New Year's Day
2020-01-01,CD,,New Year's Day
2020-01-01,CF,,New Year's Day
2020-01-01,CG,,New Year's Day
2020-01-01,CH,,New Year's Day
2020-01-01,CI,,New Year's Day
2020-01-01,CK,,New Year's Day
2020-01-01,CL,,New Year's Day
2020-01-01,CM,,New Year's Day
2020-01-01,CN,,New Year's Day
2020-01-01,CO,,New Year's Day
2020-01-01,CR,,New Year's Day
2020-01-01,CU,,Liberation Day
2020-01-01,CV,,New Year's Day
2020-01-01,CW,,New Year's Day
2020-01-01,CX,,New Year's Day
2020-01-01,CY,,New Year's Day
2020-01-01,CZ,,Independent Czech State Restoration Day; New Year's Day
2020-01-01,DE,,New Year's Day
2020-01-01,DJ,,New Year's Day
2020-01-01,DK,,New Year's Day
2020-01-01,DM,,New Year's Day
2020-01-01,DO,,New Year's Day
2020-01-01,DZ,,New Year's Day
2020-01-01,EC,,New Year's Day
2020-01-01,EE,,New Year's Day
2020-01-01,ER,,New Year's Day
2020-01-01,ES,,New Year's Day
2020-01-01,FI,,New Year's Day
2020-01-01,FJ,,New Year's Day
2020-01-01,FK,,New Year's Day
2020-01-01,FM,,New Year's Day
2020-01-01,FO,,New Year's Day
2020-01-01,FR,,New Year's Day
2020-01-01,GA,,New Year's Day
2020-01-01,GB,,New Year's Day
2020-01-01,GD,,New Year's Day
2020-01-01,GE,,New Year's Day
2020-01-01,GF,,New Year's Day
2020-01-01,GG,,New Year's Day
2020-01-01,GH,,New Year's Day
2020-01-01,GI,,New Year's Day
2020-01-01,GL,,New Year's Day
2020-01-01,GM,,New Year's Day
2020-01-01,GN,,New Year's Day
2020-01-01,GP,,New Year's Day
2020-01-01,GQ,,New Year's Day
2020-01-01,GR,,New Year's Day
2020-01-01,GS,,New Year's Day
2020-01-01,GT,,New Year's Day
2020-01-01,GU,,New Year's Day
2020-01-01,GY,,New Year's Day
2020-01-01,HK,,New Year's Day
2020-01-01,HN,,New Year's Day
2020-01-01,HR,,New Year's Day
2020-01-01,HT,,National Independence Day; New Year's Day
2020-01-01,HU,,New Year's Day
2020-01-01,ID,,New Year's Day
2020-01-01,IE,,New Year's Day
2020-01-01,IM,,New Year's Day
2020-01-01,IQ,,New Year's Day
2020-01-01,IS,,New Year's Day
2020-01-01,IT,,Capodanno
2020-01-01,JE,,New Year's Day
2020-01-01,JM,,New Year's Day
2020-01-01,JO,,New Year's Day
2020-01-01,JP,,New Year's Day
2020-01-01,KE,,New Year's Day
2020-01-01,KG,,New Year's Day
2020-01-01,KH,,International New Year Day
2020-01-01,KI,,New Year's Day
2020-01-01,KM,,New Year's Day
2020-01-01,KN,,Carnival Day
2020-01-01,KP,,New Year's Day
2020-01-01,KR,,New Year's Day
2020-01-01,KW,,New Year's Day
2020-01-01,KY,,New Year's Day
2020-01-01,KZ,,New Year's Day
2020-01-01,LA,,New Year's Day
2020-01-01,LB,,New Year's Day
2020-01-01,LC,,New Year's Day
2020-01-01,LI,,New Year's Day
2020-01-01,LR,,New Year's Day
2020-01-01,LS,,New Year's Day
2020-01-01,LT,,New Year's Day
2020-01-01,LU,,New Year's Day
2020-01-01,LV,,New Year's Day
2020-01-01,MA,,New Year's Day
2020-01-01,MC,,New Year's Day
2020-01-01,MD,,New Year's Day
2020-01-01,ME,,New Year's Day
2020-01-01,MF,,New Year's Day
2020-01-01,MG,,New Year's Day
2020-01-01,MH,,New Year's Day
2020-01-01,MK,,New Year's Day
2020-01-01,ML,,New Year's Day
2020-01-01,MN,,New Year's Day
2020-01-01,MO,,New Year's Day
2020-01-01,MP,,New Year's Day
2020-01-01,MQ,,New Year's Day
2020-01-01,MR,,New Year's Day
2020-01-01,MS,,New Year's Day
2020-01-01,MT,,New Year's Day
2020-01-01,MU,,New Year's Day
2020-01-01,MV,,New Year's Day
2020-01-01,MW,,New Year's Day
2020-01-01,MX,,New Year's Day
2020-01-01,MZ,,International Fraternalism Day
2020-01-01,NA,,New Year's Day
2020-01-01,NC,,New Year's Day
2020-01-01,NE,,New Year's Day
2020-01-01,NF,,New Year's Day
2020-01-01,NG,,New Year's Day
2020-01-01,NI,,New Year's Day
2020-01-01,NL,,New Year's Day
2020-01-01,NO,,New Year's Day
2020-01-01,NR,,New Year's Day
2020-01-01,NU,,New Year's Day
2020-01-01,NZ,,New Year's Day
2020-01-01,PA,,New Year's Day
2020-01-01,PE,,New Year's Day
2020-01-01,PF,,New Year's Day
2020-01-01,PG,,New Year's Day
2020-01-01,PH,,New Year's Day
2020-01-01,PL,,New Year's Day
2020-01-01,PM,,New Year's Day
2020-01-01,PN,,New Year's Day
2020-01-01,PR,,New Year's Day
2020-01-01,PS,,New Year's Day
2020-01-01,PT,,New Year's Day
2020-01-01,PW,,New Year's Day
2020-01-01,PY,,New Year's Day
2020-01-01,RE,,New Year's Day
2020-01-01,RO,,New Year's Day
2020-01-01,RS,,New Year's Day
2020-01-01,RU,,New Year Holidays
2020-01-01,RW,,New Year's Day
2020-01-01,SB,,New Year's Day
2020-01-01,SC,,New Year's Day
2020-01-01,SD,,Independence Day
2020-01-01,SE,,New Year's Day
2020-01-01,SG,,New Year's Day
2020-01-01,SI,,New Year's Day
2020-01-01,SJ,,New Year's Day
2020-01-01,SK,,Day of the Establishment of the Slovak Republic
2020-01-01,SL,,New Year's Day
2020-01-01,SM,,New Year's Day
2020-01-01,SN,,New Year's Day
2020-01-01,SO,,New Year's Day
2020-01-01,SR,,New Year's Day
2020-01-01,SS,,New Year's Day
2020-01-01,ST,,New Year's Day
2020-01-01,SV,,New Year's Day
2020-01-01,SX,,New Year's Day
2020-01-01,SY,,New Year's Day
2020-01-01,SZ,,New Year's Day
2020-01-01,TC,,New Year's Day
2020-01-01,TD,,New Year's Day
2020-01-01,TF,,New Year's Day
2020-01-01,TG,,New Year's Day
2020-01-01,TH,,New Year's Day
2020-01-01,TJ,,New Year's Day
2020-01-01,TK,,New Year's Day
2020-01-01,TL,,New Year's Day
2020-01-01,TM,,New Year's Day
2020-01-01,TN,,New Year's Day
2020-01-01,TO,,New Year's Day
2020-01-01,TR,,New Year's Day
2020-01-01,TT,,New Year's Day
2020-01-01,TV,,New Year's Day
2020-01-01,TW,,Founding Day of the Republic of China
2020-01-01,TZ,,New Year's Day
2020-01-01,UA,,New Year's Day
2020-01-01,UG,,New Year's Day
2020-01-01,UK,,New Year's Day
2020-01-01,UM,,New Year's Day
2020-01-01,US,,New Year's Day
2020-01-01,UY,,New Year's Day
2020-01-01,UZ,,New Year's Day
2020-01-01,VA,,"Solemnity of Mary, Mother of God"
2020-01-01,VC,,New Year's Day
2020-01-01,VE,,New Year's Day
2020-01-01,VG,,New Year's Day
2020-01-01,VI,,New Year's Day
2020-01-01,VN,,New Year's Day
2020-01-01,VU,,New Year's Day
2020-01-01,WF,,New Year's Day
2020-01-01,WS,,New Year's Day
2020-01-01,YT,,New Year's Day
2020-01-01,ZA,,New Year's Day
2020-01-01,ZM,,New Year's Day
2020-01-01,ZW,,New Year's Day
2020-01-02,AL,,New Year's Day
2020-01-02,AM,,New Year's Day
2020-01-02,AZ,,New Year's Day
2020-01-02,BA,,New Year's Day
2020-01-02,BT,,Winter Solstice
2020-01-02,BW,,New Year's Day Holiday
2020-01-02,BY,,New Year's Day
2020-01-02,CK,,Day after New Year's Day
2020-01-02,CU,,Victory Day
2020-01-02,GE,,New Year's Day
2020-01-02,HT,,Ancestry Day
2020-01-02,KN,,Carnival Day - Last Lap
2020-01-02,KZ,,New Year's Day
2020-01-02,LC,,New Year's Holiday
2020-01-02,ME,,New Year's Day
2020-01-02,MU,,Day after New Year's Day
2020-01-02,NU,,Takai Commission Holiday
2020-01-02,NZ,,Day after New Year's Day
2020-01-02,RO,,New Year's Day
2020-01-02,RS,,New Year's Day
2020-01-02,RU,,New Year Holidays
2020-01-02,RW,,Day after New Year's Day
2020-01-02,SC,,New Year Holiday
2020-01-02,SI,,New Year's Day
2020-01-02,UZ,,Day off (substituted from 01/04/2020)
2020-01-02,WS,,The Day After New Year's Day
2020-01-03,AL,,Public Holiday
2020-01-03,AM,,New Year's Day
2020-01-03,AZ,,Day off (substituted from 12/28/2019)
2020-01-03,BF,,Revolution Day
2020-01-03,KZ,,Day off (substituted from 01/05/2020)
2020-01-03,RU,,New Year Holidays
2020-01-03,SC,,Bridge Public Holiday
2020-01-03,ST,,Day of King Amador (observed)
2020-01-04,AM,,New Year's Day
2020-01-04,CD,,Martyrs' Day
2020-01-04,MM,,Independence Day
2020-01-04,RU,,New Year Holidays
2020-01-04,ST,,Day of King Amador
2020-01-05,AM,,Christmas Holidays
